"domain","input_sha256","response_sha256","metrics_sha256","metric_count","decision_count","decision_files","decision_hashes","gate","verdict","reason"
"bank","988680FD35AD2C74544B0B2C9AB8CF9AD502A316A12EF253B3386462A64F1979","128380709C77A0EFA795EE2A39C87FDEBA3EC0B7F41019BBA6F233F1C5EDFE25","28F472CF8A67A35D6C6F4D5A53FE1997033269642071F8665B8FA4CEF1FF716F","111","7","decision_bank_1777470339830.json; decision_bank_1777470350459.json; decision_bank_1777470361604.json; decision_bank_1777470372238.json; decision_bank_1777470382835.json; decision_bank_1777470393240.json; decision_bank_1777470398736.json","477896BD442043C16C99C6F17DFA7702D7FDB2291C4501E66CEC8608FE4B9FB6; F482AEDC12DC08CE0908F63D59533243724113FB3CB8766508A4EB38094B6FA9; B4C77C99EBD1CEF01B2B1CC568D5393283F8E4B4901C6A3AFCB7883D33EDF2CF; 3C81942F4896FBE99094E72055D00E6265449EB8DF3BB4D01C6EC225E9A9B8FF; E2290456752DEFF0A09F6E8E62AD22A4960F0AAEA099120474311C4ECBF85964; 6FB5EB48389B48BBDD29DE87563EAAB58F534922C944E411CEEEEA083EC5FDC5; 9FAD8493098861B2B60C12DA9AA76F0DB0CFBFDA4F808549E7C3036E99780425","BLOCK","ANALYZE","CONTRADICTION_THRESHOLD_REACHED"
"trading","A09D6DEE2AD56DA8C61E9859206B3260FAC9C92DA0C4FB6F136D177099702049","6FEDD66FCD5B35EAE7120500DA177DE049F53A0DC71C1864939A307EFAC815D3","78DA1F1A2234CDA1809B0697BC8274DCD0B30120860918A508556F1BC9F10B17","108","20","decision_trading_1777470337899.json; decision_trading_1777470341020.json; decision_trading_1777470344369.json; decision_trading_1777470348377.json; decision_trading_1777470351569.json; decision_trading_1777470356135.json; decision_trading_1777470359157.json; decision_trading_1777470362199.json; decision_trading_1777470365496.json; decision_trading_1777470369004.json; decision_trading_1777470372202.json; decision_trading_1777470375213.json; decision_trading_1777470378235.json; decision_trading_1777470381503.json; decision_trading_1777470384373.json; decision_trading_1777470389326.json; decision_trading_1777470392714.json; decision_trading_1777470397776.json; decision_trading_1777470399702.json; decision_trading_1777470400885.json","32BDF6FA2AEE55D9A94610F0CCA7D04F4BE3F8F07C84DBA9624C6626D86F4196; A4C21C407E882C2156BC336500F00B9898FA9A003BF0B875E1BEC5DC47C4CBAD; CF32596294F356C653ECEFB1170D3CE032F1BC3B9F2108ABEF0961DDF40B5AC1; 7AF8254B47D7EE095F74951FBDC0D0EEF0C6A02E1AF0E33A9DC3D1578D9CFEE2; 5E67E414D224D7ECBA506051B50B58978FED2C2AAB36FF7322C80F917771901A; 22C5EEED49EC9A3E74499706B153A3FB444AB1E88DD8B2CFEEFBE1E962F8B13F; 43F9656770EEAAC1469A486A72BA0EC72142C2C7DF4F6279E7B792E19C7A1367; 262ADD07DB3193B49A999FDEB18A11D7D321262C266999D661D34CFE47C31F8C; 14E4D68C701CBEDA4809094078F5A5DCAF381A3BF8016D2576615F0FFB6D704A; 39432F022E99597D1A9F593CDE0AD99096B844588A0AB39FAA50B05C368D444E; 69AC348E158B7A2BB561B7385957A16AF3FB6958893E6001FEAD506D47F3CD91; D345925089F06F919F9C7DE9BF38443A7A3D2F85F2E6757D7A6B39C3F7D43177; 0F73278054B59209E77732CB12C91C90578DC3E06635B54BCF4B1B8CE684E95A; 56731A149FFC2B8C4BE8734A398161DEDB299C3CDF0568EC8D151BB349168B1D; AD478893C8A84D7E1C70CAA41327B2C5CAC1493EDF26E6AF895521270C1EA615; 973CBC682D72D7FFC7CA237203F2B96D1D2EF4E827A4FF74521CD8B1487630A7; 60E54D3C46CFE302326783FC713BD36FE98F35C1D31A2B04E8F49BF0DF2D374E; 1C94D448BCD3F8469840D84E6B8B3BD1A4D8001C78E29BFD8422928BE98D8409; 09A141E87F14688A4CCC748ECB11A56BF75CA11C533FC58440F73CFF9F77532A; 88DBE0F73228D1E29F6BE0CF71754644E75BCE57CAE5739C3D2E4B17E4ADFDF0","HOLD","REVIEW","RISK_FLAGS_REQUIRE_DELAY"
"gps_defense_aviation","0E9835CD2BEBE1494297535BD822B69DA6A6D8567F01C103765741A7FDE7E8FE","DC1C168712D2BBD19CA416A833414E604049E2701F05A20C11494AAD1E752885","2815F96A255D70A194B8A1BE35992E3BD0F2F7E99AAB908E3A241A13548F776E","102","14","decision_gps_defense_aviation_1777470340099.json; decision_gps_defense_aviation_1777470344664.json; decision_gps_defense_aviation_1777470349274.json; decision_gps_defense_aviation_1777470354191.json; decision_gps_defense_aviation_1777470358662.json; decision_gps_defense_aviation_1777470362984.json; decision_gps_defense_aviation_1777470367438.json; decision_gps_defense_aviation_1777470372043.json; decision_gps_defense_aviation_1777470377082.json; decision_gps_defense_aviation_1777470381650.json; decision_gps_defense_aviation_1777470388742.json; decision_gps_defense_aviation_1777470393147.json; decision_gps_defense_aviation_1777470398235.json; decision_gps_defense_aviation_1777470400242.json","042678A0E83AF231B284A31D34AC186100802A12F116F68C96411C9C0C464F17; 9DD704F8B95ECA8AE12EDCFBEF08EA5FBC959739F791064F59E7EF53AE56BBDC; 2AFFB79EC4D0F976BBC593706EC633D50A879A33631AE786693F21ECF60CEFFE; B293BA84C70CE6D56C2A445B734C9950AAC2C4449F0EEB7EF0D4F40AE667ABBD; DAF9B2605DC50C17127E887B29BB640C5E478E310ECE179D0324FAB32861865F; BC02CDB9CDEA6AF57D85080010708DEB4A5347C5B3D7AB9FB4033E83603BC6CF; 6130DE675ACE095BC5ECFF6CF46D0FAFFB791F9C98655770B5E83BC1A3D78A2E; 03F9313B2B359B3BD8C52491AB3C4E5248D291EAC7BC17AF2736C190EF44DDE7; 5A664814D0CFD3C75AFC556F4397BE81B831F4151AC1E5C699CF30294D221DAD; 27902F90A300D4DC627241148CCE7AA0EB25D3263CE9FB84FB53917B6B10647C; CD1390D34BA623DD5A35413FD95524D29DA1EFF990176007491440D002FDCE8A; B32ED03DE5505BF6A8C530B1303257321A9D8484E205C0CFF3F63A7C3ACB08C2; E648CB2DAB0D991B27874A39241FAC3EE7E0CBF29F8A99B53ED2103D71572851; 7E469F2198B77DBF6E9354FB4023650C918415BCCD2A9E621E389E6A6584D517","BLOCK","ABORT_TRAJECTORY","CONTRADICTION_THRESHOLD_REACHED"
