"Category","Risk","State","SizeKB","Path","Action"
"SENSITIVE_EXPOSURE_REVIEW","HIGH","TRACKED","6,37","private/ASK_AN_AI.md","Inspect before push; remove secrets or gitignore"
"SENSITIVE_EXPOSURE_REVIEW","HIGH","TRACKED","0,89","private/client/index.html","Inspect before push; remove secrets or gitignore"
"SENSITIVE_EXPOSURE_REVIEW","HIGH","TRACKED","0","private/client/public/.gitkeep","Inspect before push; remove secrets or gitignore"
"SENSITIVE_EXPOSURE_REVIEW","HIGH","TRACKED","24,58","private/client/public/__manus__/debug-collector.js","Inspect before push; remove secrets or gitignore"
"SENSITIVE_EXPOSURE_REVIEW","HIGH","TRACKED","0,06","private/client/public/__manus__/version.json","Inspect before push; remove secrets or gitignore"
"SENSITIVE_EXPOSURE_REVIEW","HIGH","TRACKED","2,07","private/client/src/_core/hooks/useAuth.ts","Inspect before push; remove secrets or gitignore"
"SENSITIVE_EXPOSURE_REVIEW","HIGH","TRACKED","17,17","private/client/src/App.tsx","Inspect before push; remove secrets or gitignore"
"SENSITIVE_EXPOSURE_REVIEW","HIGH","TRACKED","8,25","private/client/src/components/AgentsSidebar.tsx","Inspect before push; remove secrets or gitignore"
"SENSITIVE_EXPOSURE_REVIEW","HIGH","TRACKED","10,6","private/client/src/components/AIChatBox.tsx","Inspect before push; remove secrets or gitignore"
"SENSITIVE_EXPOSURE_REVIEW","HIGH","TRACKED","3,04","private/client/src/components/BarreMetriques.tsx","Inspect before push; remove secrets or gitignore"
"SENSITIVE_EXPOSURE_REVIEW","HIGH","TRACKED","11,86","private/client/src/components/BeforeAfterPanel.tsx","Inspect before push; remove secrets or gitignore"
"SENSITIVE_EXPOSURE_REVIEW","HIGH","TRACKED","14,5","private/client/src/components/canonical/AgentConstellationPanel.tsx","Inspect before push; remove secrets or gitignore"
"SENSITIVE_EXPOSURE_REVIEW","HIGH","TRACKED","14,01","private/client/src/components/canonical/DecisionEnvelopeCard.tsx","Inspect before push; remove secrets or gitignore"
"SENSITIVE_EXPOSURE_REVIEW","HIGH","TRACKED","6,63","private/client/src/components/canonical/HealthMatrix.tsx","Inspect before push; remove secrets or gitignore"
"SENSITIVE_EXPOSURE_REVIEW","HIGH","TRACKED","4,94","private/client/src/components/canonical/IncidentCard.tsx","Inspect before push; remove secrets or gitignore"
"SENSITIVE_EXPOSURE_REVIEW","HIGH","TRACKED","5,74","private/client/src/components/canonical/ProofChainView.tsx","Inspect before push; remove secrets or gitignore"
"SENSITIVE_EXPOSURE_REVIEW","HIGH","TRACKED","5,75","private/client/src/components/canonical/ReplayPanel.tsx","Inspect before push; remove secrets or gitignore"
"SENSITIVE_EXPOSURE_REVIEW","HIGH","TRACKED","11,45","private/client/src/components/CanonicalAgentPanel.tsx","Inspect before push; remove secrets or gitignore"
"SENSITIVE_EXPOSURE_REVIEW","HIGH","TRACKED","3,22","private/client/src/components/CanonicalProofPanel.tsx","Inspect before push; remove secrets or gitignore"
"SENSITIVE_EXPOSURE_REVIEW","HIGH","TRACKED","8","private/client/src/components/CanonicalRealPanel.tsx","Inspect before push; remove secrets or gitignore"
"SENSITIVE_EXPOSURE_REVIEW","HIGH","TRACKED","7,51","private/client/src/components/CausalPipeline.tsx","Inspect before push; remove secrets or gitignore"
"SENSITIVE_EXPOSURE_REVIEW","HIGH","TRACKED","15,71","private/client/src/components/CommandPanel.tsx","Inspect before push; remove secrets or gitignore"
"SENSITIVE_EXPOSURE_REVIEW","HIGH","TRACKED","7,55","private/client/src/components/ConceptTooltip.tsx","Inspect before push; remove secrets or gitignore"
"SENSITIVE_EXPOSURE_REVIEW","HIGH","TRACKED","14,67","private/client/src/components/DashboardLayout.tsx","Inspect before push; remove secrets or gitignore"
"SENSITIVE_EXPOSURE_REVIEW","HIGH","TRACKED","1,59","private/client/src/components/DashboardLayoutSkeleton.tsx","Inspect before push; remove secrets or gitignore"
"SENSITIVE_EXPOSURE_REVIEW","HIGH","TRACKED","10,57","private/client/src/components/DecisionStream.tsx","Inspect before push; remove secrets or gitignore"
"SENSITIVE_EXPOSURE_REVIEW","HIGH","TRACKED","4,48","private/client/src/components/DecisionSummaryBar.tsx","Inspect before push; remove secrets or gitignore"
"SENSITIVE_EXPOSURE_REVIEW","HIGH","TRACKED","4,53","private/client/src/components/DecisionTicketPanel.tsx","Inspect before push; remove secrets or gitignore"
"SENSITIVE_EXPOSURE_REVIEW","HIGH","TRACKED","10,57","private/client/src/components/EngineBlock.tsx","Inspect before push; remove secrets or gitignore"
"SENSITIVE_EXPOSURE_REVIEW","HIGH","TRACKED","11,39","private/client/src/components/EngineTransparency.tsx","Inspect before push; remove secrets or gitignore"
"SENSITIVE_EXPOSURE_REVIEW","HIGH","TRACKED","1,65","private/client/src/components/ErrorBoundary.tsx","Inspect before push; remove secrets or gitignore"
"SENSITIVE_EXPOSURE_REVIEW","HIGH","TRACKED","2,95","private/client/src/components/InWaitOut.tsx","Inspect before push; remove secrets or gitignore"
