registry_id,source_family,source_zip,internal_path,file_name,extension,size_bytes,recommended_decision,boundary_required,claim_scope,quarantine_status,adapter_target,packet_target,runtime_allowed_now,emits_act,emits_decision,source_status,notes
649f0749da924baeb88747f8,COGNITIVE_REINTEGRATION,OBSIDIA_COGNITIVE_REINTEGRATION_SPEC_V1_VERIFIED_FULL(1).zip,component_specs/C418_external_context_packet.yaml,C418_external_context_packet.yaml,.yaml,3172,INTEGRATE_TO_COGNITIVE_ADVISORY_SPEC_CANDIDATE,COGNITIVE_REINTEGRATION_ADVISORY_ONLY,ADVISORY_ONLY,CLEAR,cognitive_to_context_packet,ContextPacket,False,False,False,COPIED_READONLY,COGNITIVE_REINTEGRATION|F07 audit only; no extraction; no runtime import
c22974b9c8bd237cb87be470,COGNITIVE_REINTEGRATION,OBSIDIA_COGNITIVE_REINTEGRATION_SPEC_V1_VERIFIED_FULL(1).zip,component_specs/C109_subjective_reconstruction_module.yaml,C109_subjective_reconstruction_module.yaml,.yaml,3082,INTEGRATE_TO_COGNITIVE_ADVISORY_SPEC_CANDIDATE,COGNITIVE_REINTEGRATION_ADVISORY_ONLY,ADVISORY_ONLY,CLEAR,cognitive_to_context_packet,ContextPacket,False,False,False,COPIED_READONLY,COGNITIVE_REINTEGRATION|F07 audit only; no extraction; no runtime import
af9c79f66d306351bf4382ed,COGNITIVE_REINTEGRATION,OBSIDIA_COGNITIVE_REINTEGRATION_SPEC_V1_VERIFIED_FULL(1).zip,component_specs/C306_self_reflective_state_signal.yaml,C306_self_reflective_state_signal.yaml,.yaml,3089,INTEGRATE_TO_COGNITIVE_ADVISORY_SPEC_CANDIDATE,COGNITIVE_REINTEGRATION_ADVISORY_ONLY,ADVISORY_ONLY,CLEAR,cognitive_to_context_packet,ContextPacket,False,False,False,COPIED_READONLY,COGNITIVE_REINTEGRATION|F07 audit only; no extraction; no runtime import
dc4ae3579a7aca627092fe74,COGNITIVE_REINTEGRATION,OBSIDIA_COGNITIVE_REINTEGRATION_SPEC_V1_VERIFIED_FULL(1).zip,component_specs/C432_publication_action_candidate.yaml,C432_publication_action_candidate.yaml,.yaml,3222,INTEGRATE_TO_COGNITIVE_ADVISORY_SPEC_CANDIDATE,COGNITIVE_REINTEGRATION_ADVISORY_ONLY,ADVISORY_ONLY,CLEAR,cognitive_to_context_packet,ContextPacket,False,False,False,COPIED_READONLY,COGNITIVE_REINTEGRATION|F07 audit only; no extraction; no runtime import
64cf68a2530758c33bdde542,COGNITIVE_REINTEGRATION,OBSIDIA_COGNITIVE_REINTEGRATION_SPEC_V1_VERIFIED_FULL(1).zip,component_specs/C032_dialogic_reasoning_mode.yaml,C032_dialogic_reasoning_mode.yaml,.yaml,3034,INTEGRATE_TO_COGNITIVE_ADVISORY_SPEC_CANDIDATE,COGNITIVE_REINTEGRATION_ADVISORY_ONLY,ADVISORY_ONLY,CLEAR,cognitive_to_context_packet,ContextPacket,False,False,False,COPIED_READONLY,COGNITIVE_REINTEGRATION|F07 audit only; no extraction; no runtime import
1ee55a7060145e409c4e3d7a,COGNITIVE_REINTEGRATION,OBSIDIA_COGNITIVE_REINTEGRATION_SPEC_V1_VERIFIED_FULL(1).zip,component_specs/C412_ClioPass_like_permission_layer.yaml,C412_ClioPass_like_permission_layer.yaml,.yaml,3148,INTEGRATE_TO_COGNITIVE_ADVISORY_SPEC_CANDIDATE,COGNITIVE_REINTEGRATION_ADVISORY_ONLY,ADVISORY_ONLY,CLEAR,cognitive_to_context_packet,ContextPacket,False,False,False,COPIED_READONLY,COGNITIVE_REINTEGRATION|F07 audit only; no extraction; no runtime import
ee931dd4ab50a8ebe7944b1f,COGNITIVE_REINTEGRATION,OBSIDIA_COGNITIVE_REINTEGRATION_SPEC_V1_VERIFIED_FULL(1).zip,component_specs/C239_memory_resonance_index.yaml,C239_memory_resonance_index.yaml,.yaml,3099,INTEGRATE_TO_COGNITIVE_ADVISORY_SPEC_CANDIDATE,COGNITIVE_REINTEGRATION_ADVISORY_ONLY,ADVISORY_ONLY,CLEAR,cognitive_to_context_packet,ContextPacket,False,False,False,COPIED_READONLY,COGNITIVE_REINTEGRATION|F07 audit only; no extraction; no runtime import
826b15aa10724416391135f7,COGNITIVE_REINTEGRATION,OBSIDIA_COGNITIVE_REINTEGRATION_SPEC_V1_VERIFIED_FULL(1).zip,component_specs/C098_agent_silence.yaml,C098_agent_silence.yaml,.yaml,2984,INTEGRATE_TO_COGNITIVE_ADVISORY_SPEC_CANDIDATE,COGNITIVE_REINTEGRATION_ADVISORY_ONLY,ADVISORY_ONLY,CLEAR,cognitive_to_context_packet,ContextPacket,False,False,False,COPIED_READONLY,COGNITIVE_REINTEGRATION|F07 audit only; no extraction; no runtime import
3798bb61e4d6bb71113f5f20,COGNITIVE_REINTEGRATION,OBSIDIA_COGNITIVE_REINTEGRATION_SPEC_V1_VERIFIED_FULL(1).zip,component_specs/C391_paradigm_switch_engine.yaml,C391_paradigm_switch_engine.yaml,.yaml,3046,INTEGRATE_TO_COGNITIVE_ADVISORY_SPEC_CANDIDATE,COGNITIVE_REINTEGRATION_ADVISORY_ONLY,ADVISORY_ONLY,CLEAR,cognitive_to_context_packet,ContextPacket,False,False,False,COPIED_READONLY,COGNITIVE_REINTEGRATION|F07 audit only; no extraction; no runtime import
0270b0a031bf57200e680d27,COGNITIVE_REINTEGRATION,OBSIDIA_COGNITIVE_REINTEGRATION_SPEC_V1_VERIFIED_FULL(1).zip,component_specs/C016_cross_reasoning_router.yaml,C016_cross_reasoning_router.yaml,.yaml,3036,INTEGRATE_TO_COGNITIVE_ADVISORY_SPEC_CANDIDATE,COGNITIVE_REINTEGRATION_ADVISORY_ONLY,ADVISORY_ONLY,CLEAR,cognitive_to_context_packet,ContextPacket,False,False,False,COPIED_READONLY,COGNITIVE_REINTEGRATION|F07 audit only; no extraction; no runtime import
