I0802 21:18:53.116795      11 gnss_block_factory.cc:920] Getting SignalSource SignalSource with implementation File_Signal_Source
I0802 21:18:53.772158      11 gnss_block_factory.cc:1070] Getting 0 BEIDOU B1I channels
I0802 21:18:53.772626      11 gnss_block_factory.cc:1070] Getting 0 BEIDOU B3I channels
I0802 21:18:53.773035      11 gnss_block_factory.cc:1070] Getting 0 GALILEO E5b I (I/NAV OS) channels
I0802 21:18:53.773630      11 gnss_block_factory.cc:1070] Getting 0 QZSS L1 C/A channels
I0802 21:18:53.774493      11 gnss_block_factory.cc:1070] Getting 0 QZSS L5 channels
I0802 21:18:53.777411      11 gnss_flowgraph.cc:439] Connecting flowgraph
I0802 21:18:53.797648      11 gnss_flowgraph.cc:1083] connecting sig_source_ 0 stream 0 to conditioner 0
I0802 21:18:53.802653      11 gnss_flowgraph.cc:602] Channel 0 assigned to GPS PRN 01 (Block IIF) Signal 1C
I0802 21:18:53.803970      11 gnss_flowgraph.cc:619] Channel 0 connected to observables and ready for acquisition
I0802 21:18:53.804636      11 gnss_flowgraph.cc:602] Channel 1 assigned to GPS PRN 02 (Block IIR) Signal 1C
I0802 21:18:53.805241      11 gnss_flowgraph.cc:623] Channel 1 connected to observables in standby mode
I0802 21:18:53.805750      11 gnss_flowgraph.cc:602] Channel 2 assigned to GPS PRN 03 (Block IIF) Signal 1C
I0802 21:18:53.806306      11 gnss_flowgraph.cc:623] Channel 2 connected to observables in standby mode
I0802 21:18:53.808168      11 gnss_flowgraph.cc:602] Channel 3 assigned to GPS PRN 04 (Block III) Signal 1C
I0802 21:18:53.808754      11 gnss_flowgraph.cc:623] Channel 3 connected to observables in standby mode
I0802 21:18:53.809416      11 gnss_flowgraph.cc:602] Channel 4 assigned to GPS PRN 05 (Block IIR-M) Signal 1C
I0802 21:18:53.810269      11 gnss_flowgraph.cc:623] Channel 4 connected to observables in standby mode
I0802 21:18:53.810597      11 gnss_flowgraph.cc:602] Channel 5 assigned to GPS PRN 06 (Block IIF) Signal 1C
I0802 21:18:53.810945      11 gnss_flowgraph.cc:623] Channel 5 connected to observables in standby mode
I0802 21:18:53.811421      11 gnss_flowgraph.cc:602] Channel 6 assigned to GPS PRN 07 (Block IIR-M) Signal 1C
I0802 21:18:53.812207      11 gnss_flowgraph.cc:623] Channel 6 connected to observables in standby mode
I0802 21:18:53.812978      11 gnss_flowgraph.cc:602] Channel 7 assigned to GPS PRN 08 (Block IIF) Signal 1C
I0802 21:18:53.814619      11 gnss_flowgraph.cc:623] Channel 7 connected to observables in standby mode
I0802 21:18:53.815143      11 gnss_flowgraph.cc:627] The GNU Radio flowgraph for the current GNSS-SDR configuration has been successfully connected
I0802 21:18:53.815505      11 gnss_flowgraph.cc:475] Flowgraph connected
I0802 21:18:53.815859      11 control_thread.cc:404] Flowgraph connected
I0802 21:18:53.979518      11 control_thread.cc:414] Flowgraph started
I0802 21:18:55.096578      83 pcps_acquisition.cc:353] Successful acquisition in channel 0 for satellite G 17
I0802 21:18:55.096578      83 pcps_acquisition.cc:353] Successful acquisition in channel 0 for satellite G 17
I0802 21:18:55.108463      50 dll_pll_veml_tracking.cc:2005] Pull-in: Number of samples between Acquisition and Tracking = 7115 ( 0.0035575 s)for satellite GPS PRN 17 (Block IIR-M) in channel 0
I0802 21:18:55.152818      41 dll_pll_veml_tracking.cc:2005] Pull-in: Number of samples between Acquisition and Tracking = 22966 ( 0.011483 s)for satellite GPS PRN 20 (Block IIR) in channel 3
I0802 21:18:55.152818      41 dll_pll_veml_tracking.cc:2005] Pull-in: Number of samples between Acquisition and Tracking = 22966 ( 0.011483 s)for satellite GPS PRN 20 (Block IIR) in channel 3
I0802 21:18:55.153029      86 pcps_acquisition.cc:353] Successful acquisition in channel 3 for satellite G 20
I0802 21:18:55.438333      44 dll_pll_veml_tracking.cc:2005] Pull-in: Number of samples between Acquisition and Tracking = -744 ( -0.000372 s)for satellite GPS PRN 32 (Block IIF) in channel 2
I0802 21:18:55.438333      44 dll_pll_veml_tracking.cc:2005] Pull-in: Number of samples between Acquisition and Tracking = -744 ( -0.000372 s)for satellite GPS PRN 32 (Block IIF) in channel 2
I0802 21:18:55.438670      98 pcps_acquisition.cc:353] Successful acquisition in channel 2 for satellite G 32
I0802 21:18:55.441705      99 pcps_acquisition.cc:353] Successful acquisition in channel 4 for satellite G 1
I0802 21:18:55.443757      38 dll_pll_veml_tracking.cc:2005] Pull-in: Number of samples between Acquisition and Tracking = 43976 ( 0.021988 s)for satellite GPS PRN 01 (Block IIF) in channel 4
I0802 21:18:55.607366     109 pcps_acquisition.cc:353] Successful acquisition in channel 6 for satellite G 11
I0802 21:18:55.625382      32 dll_pll_veml_tracking.cc:2005] Pull-in: Number of samples between Acquisition and Tracking = 2091 ( 0.0010455 s)for satellite GPS PRN 11 (Block III) in channel 6
I0802 21:18:56.464014      44 dll_pll_veml_tracking.cc:2100] GPS L1 C/A histogram bit synchronization locked in channel 2 for satellite GPS PRN 32 (Block IIF)
I0802 21:18:58.015541     245 pcps_acquisition.cc:353] Successful acquisition in channel 7 for satellite G 12
I0802 21:18:58.026558      29 dll_pll_veml_tracking.cc:2005] Pull-in: Number of samples between Acquisition and Tracking = 512 ( 0.000256 s)for satellite GPS PRN 12 (Block IIR-M) in channel 7
I0802 21:18:58.360903     275 pcps_acquisition.cc:353] Successful acquisition in channel 5 for satellite G 16
I0802 21:18:58.360903     275 pcps_acquisition.cc:353] Successful acquisition in channel 5 for satellite G 16
I0802 21:18:58.361678      35 dll_pll_veml_tracking.cc:2005] Pull-in: Number of samples between Acquisition and Tracking = 512 ( 0.000256 s)for satellite GPS PRN 16 (Block IIR) in channel 5
I0802 21:19:00.721760      47 dll_pll_veml_tracking.cc:2005] Pull-in: Number of samples between Acquisition and Tracking = -3256 ( -0.001628 s)for satellite GPS PRN 21 (Block IIR) in channel 1
I0802 21:19:00.722436      47 dll_pll_veml_tracking.cc:2037] GPS L1 C/A tracking synchronization time limit reached in channel 1 for satellite GPS PRN 21 (Block IIR)

I0802 21:19:00.723317     428 pcps_acquisition.cc:353] Successful acquisition in channel 1 for satellite G 21
I0802 21:19:00.738763      47 dll_pll_veml_tracking.cc:1238] Loss of lock in channel 1, satellite GPS PRN 21 (Block IIR) (carrier_lock_fail_counter:300001 code_lock_fail_counter : 0)
I0802 21:19:01.134434     483 pcps_acquisition.cc:353] Successful acquisition in channel 1 for satellite G 25
I0802 21:19:01.134434     483 pcps_acquisition.cc:353] Successful acquisition in channel 1 for satellite G 25
I0802 21:19:01.134894      47 dll_pll_veml_tracking.cc:2005] Pull-in: Number of samples between Acquisition and Tracking = 512 ( 0.000256 s)for satellite GPS PRN 25 (Block IIF) in channel 1
I0802 21:19:04.088600      50 dll_pll_veml_tracking.cc:2100] GPS L1 C/A histogram bit synchronization locked in channel 0 for satellite GPS PRN 17 (Block IIR-M)
I0802 21:19:04.096963      41 dll_pll_veml_tracking.cc:2100] GPS L1 C/A histogram bit synchronization locked in channel 3 for satellite GPS PRN 20 (Block IIR)
I0802 21:19:04.178555      38 dll_pll_veml_tracking.cc:2100] GPS L1 C/A histogram bit synchronization locked in channel 4 for satellite GPS PRN 01 (Block IIF)
I0802 21:19:04.434570      32 dll_pll_veml_tracking.cc:2100] GPS L1 C/A histogram bit synchronization locked in channel 6 for satellite GPS PRN 11 (Block III)
I0802 21:19:04.602924      45 gps_l1_ca_telemetry_decoder_gs.cc:573] Successful frame synchronization in channel 2 for GPS L1 satellite GPS PRN 32 (Block IIF) at d_sample_counter=326
I0802 21:19:09.041272      29 dll_pll_veml_tracking.cc:1238] Loss of lock in channel 7, satellite GPS PRN 12 (Block IIR-M) (carrier_lock_fail_counter:5001 code_lock_fail_counter : 0)
I0802 21:19:09.120074     499 pcps_acquisition.cc:353] Successful acquisition in channel 7 for satellite G 10
I0802 21:19:09.122968      29 dll_pll_veml_tracking.cc:2005] Pull-in: Number of samples between Acquisition and Tracking = 10288 ( 0.005144 s)for satellite GPS PRN 10 (Block IIF) in channel 7
I0802 21:19:09.234669      35 dll_pll_veml_tracking.cc:1238] Loss of lock in channel 5, satellite GPS PRN 16 (Block IIR) (carrier_lock_fail_counter:5001 code_lock_fail_counter : 0)
I0802 21:19:09.887287      39 gps_l1_ca_telemetry_decoder_gs.cc:573] Successful frame synchronization in channel 4 for GPS L1 satellite GPS PRN 01 (Block IIF) at d_sample_counter=334
I0802 21:19:09.888085      42 gps_l1_ca_telemetry_decoder_gs.cc:573] Successful frame synchronization in channel 3 for GPS L1 satellite GPS PRN 20 (Block IIR) at d_sample_counter=341
I0802 21:19:09.888085      42 gps_l1_ca_telemetry_decoder_gs.cc:573] Successful frame synchronization in channel 3 for GPS L1 satellite GPS PRN 20 (Block IIR) at d_sample_counter=341
I0802 21:19:09.888723      33 gps_l1_ca_telemetry_decoder_gs.cc:573] Successful frame synchronization in channel 6 for GPS L1 satellite GPS PRN 11 (Block III) at d_sample_counter=317
I0802 21:19:09.888085      42 gps_l1_ca_telemetry_decoder_gs.cc:573] Successful frame synchronization in channel 3 for GPS L1 satellite GPS PRN 20 (Block IIR) at d_sample_counter=341
I0802 21:19:09.888723      33 gps_l1_ca_telemetry_decoder_gs.cc:573] Successful frame synchronization in channel 6 for GPS L1 satellite GPS PRN 11 (Block III) at d_sample_counter=317
I0802 21:19:09.889922      51 gps_l1_ca_telemetry_decoder_gs.cc:573] Successful frame synchronization in channel 0 for GPS L1 satellite GPS PRN 17 (Block IIR-M) at d_sample_counter=342
I0802 21:19:10.415692     643 pcps_acquisition.cc:353] Successful acquisition in channel 5 for satellite G 3
I0802 21:19:10.415692     643 pcps_acquisition.cc:353] Successful acquisition in channel 5 for satellite G 3
I0802 21:19:10.415990      35 dll_pll_veml_tracking.cc:2005] Pull-in: Number of samples between Acquisition and Tracking = -4051 ( -0.0020255 s)for satellite GPS PRN 03 (Block IIF) in channel 5
I0802 21:19:10.416752      35 dll_pll_veml_tracking.cc:2037] GPS L1 C/A tracking synchronization time limit reached in channel 5 for satellite GPS PRN 03 (Block IIF)

I0802 21:19:10.432155      35 dll_pll_veml_tracking.cc:1238] Loss of lock in channel 5, satellite GPS PRN 03 (Block IIF) (carrier_lock_fail_counter:300001 code_lock_fail_counter : 0)
I0802 21:19:11.190682     794 pcps_acquisition.cc:353] Successful acquisition in channel 5 for satellite G 3
I0802 21:19:11.190682     794 pcps_acquisition.cc:353] Successful acquisition in channel 5 for satellite G 3
I0802 21:19:11.191215      35 dll_pll_veml_tracking.cc:2005] Pull-in: Number of samples between Acquisition and Tracking = 2096 ( 0.001048 s)for satellite GPS PRN 03 (Block IIF) in channel 5
I0802 21:19:11.364517      47 dll_pll_veml_tracking.cc:1238] Loss of lock in channel 1, satellite GPS PRN 25 (Block IIF) (carrier_lock_fail_counter:5001 code_lock_fail_counter : 0)
I0802 21:19:12.397984     877 pcps_acquisition.cc:353] Successful acquisition in channel 1 for satellite G 16
I0802 21:19:12.397984     877 pcps_acquisition.cc:353] Successful acquisition in channel 1 for satellite G 16
I0802 21:19:12.398786      47 dll_pll_veml_tracking.cc:2005] Pull-in: Number of samples between Acquisition and Tracking = 5396 ( 0.002698 s)for satellite GPS PRN 16 (Block IIR) in channel 1
I0802 21:19:18.872199      29 dll_pll_veml_tracking.cc:1238] Loss of lock in channel 7, satellite GPS PRN 10 (Block IIF) (carrier_lock_fail_counter:5001 code_lock_fail_counter : 0)
I0802 21:19:21.103748      52 hybrid_observables_gs.cc:254] Corrected new RX Time offset: -71[ms]
I0802 21:19:21.103748      52 hybrid_observables_gs.cc:254] Corrected new RX Time offset: -71[ms]
I0802 21:19:21.103707      53 rtklib_pvt_gs.cc:2482] PVT: Sent clock offset correction to observables: -0.0710635[s]
I0802 21:19:21.203468      35 dll_pll_veml_tracking.cc:1238] Loss of lock in channel 5, satellite GPS PRN 03 (Block IIF) (carrier_lock_fail_counter:5001 code_lock_fail_counter : 0)
I0802 21:19:21.204917      11 gnss_flowgraph.cc:1914] Channel 5 Idle state
I0802 21:19:21.407327      53 rtklib_pvt_gs.cc:2687] First position fix at 2032-Nov-18 06:23:30.120000 UTC is Lat = 41.2748 [deg], Long = 1.98766 [deg], Height = 77.768 [m], with GDOP = 5.94463
Time to First Fix: 28.2262 [s] (wall clock)
Time to First Fix: 25.0829 [s] (processing time)

First NMEA message: $GPGGA,062330.11,4116.4872441,N,00159.2597478,E,3,05,1.0,77.768,M,0.000,M,0.0,*4C

I0802 21:19:22.649861      47 dll_pll_veml_tracking.cc:1238] Loss of lock in channel 1, satellite GPS PRN 16 (Block IIR) (carrier_lock_fail_counter:5001 code_lock_fail_counter : 0)
I0802 21:19:22.651651      11 gnss_flowgraph.cc:1914] Channel 1 Idle state
I0802 21:19:22.873034    1401 pcps_acquisition.cc:353] Successful acquisition in channel 5 for satellite G 31
