"domain","input_sha256","response_sha256","metrics_sha256","metric_count","decision_count","decision_files","decision_hashes","gate","verdict","reason"
"bank","988680FD35AD2C74544B0B2C9AB8CF9AD502A316A12EF253B3386462A64F1979","3F5BF5A58D6DC7F00D72278C9981BEF65561AE02DAEA6BD9BB279530DA86F95E","2E0F3001CD64B8AB3B946701A6E30ECF060D2FD15CDEDF787B38ADB624718CBA","111","6","decision_bank_1777469753236.json; decision_bank_1777469763706.json; decision_bank_1777469774474.json; decision_bank_1777469784829.json; decision_bank_1777469793586.json; decision_bank_1777469795260.json","FE750BBCD022D6DD54B31FB4026E6DD70A3B1EB6D35CB0E7D7B356DC53AE6E20; FC81DCFDAE7BA13C1FF199BC510D42D07134548BE8CF1BD0437D6CB93571D28C; 2C14E9891A2B18DB290EC99EF8F9362325CB24C06CFECB460F5AD806C2748B9F; EFCE9918328D2DCF99BCC49ACC66733DD95E42F3F93C0689685C708BADB824CF; 307792A2856DBDF4850BE11083CF35DEB448AEC9192B89D954AB271BE368C25D; 51CB0E588EB4E1D7537BD7D6F249E7462A830079E7AD85E42930E2B2754751EE","BLOCK","ANALYZE","CONTRADICTION_THRESHOLD_REACHED"
"trading","A09D6DEE2AD56DA8C61E9859206B3260FAC9C92DA0C4FB6F136D177099702049","717F72699F46D7F5A6C90D5F4235D86BE9F219ABC910DCF67B4F83E028F30997","9F8C712477A825DBAC89FC9AEA4F0CFC3054EB66F511ABA778C998A774A7BC5B","108","13","decision_trading_1777469754705.json; decision_trading_1777469757935.json; decision_trading_1777469760987.json; decision_trading_1777469764324.json; decision_trading_1777469767583.json; decision_trading_1777469770507.json; decision_trading_1777469773288.json; decision_trading_1777469776725.json; decision_trading_1777469779826.json; decision_trading_1777469783193.json; decision_trading_1777469786372.json; decision_trading_1777469794571.json; decision_trading_1777469794919.json","09DE50B637FC58D2CB6903088ABCA0EE7F77EBAFA43890C91D107D09FBE0A6CA; FA009C3753800EBF9E6ABE0B9E260A08B3B41B1FE0C989A32660EB7520C008EC; AE9E067A16010D207E7707AD9C6D1EA09A5AF3350600B599A313F7D71E5C66A2; 8408223EEB007E0AF9AAD5CB670876B9F8DD4A34C0672E3F20D2883CF633B5E5; 3396A6AB4B27B1DDE36FDEB94303DE79164668209C9073572B7FF05E4FC1C6D0; FE1247CD3A4A89F1370B8A4F766E54EA949ABDCEA41150FD69C3CD5C99749B75; 87CC16DA70D33C21AFE3053C0D6AB9AFC23285B3D41DB87A02508C18F255A249; F8BDC54A1A218CB2848E90B39A098E89FD95E66A7F97E1AA237381F40F7DE97D; 6912343A0542DFF078B07BD6036E52D3839BC67CCE17D84E7B6F6FA036EA16A0; BAD1E7B7A809DE2B2D0351F6E6BD87EB51ADE04AD45D8D96163B52D62BF2A15C; 193904D0E49A354D6B4A8C8B09CB89B66925F26AE19D453C01BCB41B89D7CB14; AF45B4FF421331EA573FBB9E3DD14781F7EFB3981E9DDDC7B977DBD6C3DEF35E; EA3B84D0F7C87B995BDC6CC9494C5EF45711CDDCB10483790DEAB5F32697CB87","HOLD","REVIEW","RISK_FLAGS_REQUIRE_DELAY"
"gps_defense_aviation","0E9835CD2BEBE1494297535BD822B69DA6A6D8567F01C103765741A7FDE7E8FE","95B65E9635BB912FC611728975C1D6F53B8855910D8E2F9721199F6BFC5099A7","9CEE4B2E72B5B4127E660F1890B04FD068D3E579A280BCE2E88B0E1C94999D09","102","10","decision_gps_defense_aviation_1777469754510.json; decision_gps_defense_aviation_1777469758836.json; decision_gps_defense_aviation_1777469763292.json; decision_gps_defense_aviation_1777469767741.json; decision_gps_defense_aviation_1777469772199.json; decision_gps_defense_aviation_1777469777058.json; decision_gps_defense_aviation_1777469781451.json; decision_gps_defense_aviation_1777469785768.json; decision_gps_defense_aviation_1777469792317.json; decision_gps_defense_aviation_1777469795165.json","25FDAA05F1D2813D4680AEC7836FE9DC74B0104D0B3F8B75540836A92DCAF140; FAA07BB0B277B9617E4112344439D98303A702C474522343385C624F28579388; 99FAB050B93201703CDA85C2C81149F4323574BE942D914F567692D34219FF47; 4B33D9368DF2BA303DDFF174B651C9B50973A78F6DAF521EA3F14FF8A65089AD; 4F83BDEB8EAE606CFB65DD58961D7983453EF5D4EFD4B5C03D5921C973446E9E; D6BE2C1E33EA6AB259DD5769393F4D4375A58795E4988B068718CE368FC83898; 4D56E7EC593C32171500D792E83514DEC03B0BA6DC0F55A8C420E07B6F45BD7A; 591301A3253E26C94574E523BBB1A4FA79591ABFE05F29D254202FD823B83D53; FE00676B9015AE4D6D4EF2EFB5851D7787742B36F4C3610D2E68BDE5CBAF659C; FB744D851530B7282394FFCCDC4C9B011E79EBE8D2B997E3C77E795F8980036A","BLOCK","ABORT_TRAJECTORY","CONTRADICTION_THRESHOLD_REACHED"
