"source_zip","zip_path","internal_path","file_name","extension","size_bytes","recommended_decision","boundary_required","claim_scope_risk","runtime_allowed_now","reality_claim_allowed","action_claim_allowed","notes"
"OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","C:\Users\User\Downloads\OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT/.runtime_freezes/WORLD_PROTOCOL_ATLAS_FULL_V0/scenario_candidates_snapshot.json","scenario_candidates_snapshot.json",".json","141052","ARCHIVE_ONLY","ATLAS_READONLY_ADVISORY_ONLY","RUNTIME_FREEZE_ARCHIVE_ONLY","false","false","false","F06 canon repair inventory; deduped zip source; no extraction; no runtime import"
"OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","C:\Users\User\Downloads\OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT/.runtime_freezes/WORLD_PROTOCOL_ATLAS_FULL_V0_1_EXHAUSTIVE/ALL_TABLES_RAW.json","ALL_TABLES_RAW.json",".json","1488571","ARCHIVE_ONLY","ATLAS_READONLY_ADVISORY_ONLY","RUNTIME_FREEZE_ARCHIVE_ONLY","false","false","false","F06 canon repair inventory; deduped zip source; no extraction; no runtime import"
"OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","C:\Users\User\Downloads\OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT/.runtime_freezes/WORLD_PROTOCOL_ATLAS_FULL_V0_1_EXHAUSTIVE/AUTO_AGENT_CANDIDATES_RAW.json","AUTO_AGENT_CANDIDATES_RAW.json",".json","178251","ARCHIVE_ONLY","ATLAS_READONLY_ADVISORY_ONLY","RUNTIME_FREEZE_ARCHIVE_ONLY","false","false","false","F06 canon repair inventory; deduped zip source; no extraction; no runtime import"
"OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","C:\Users\User\Downloads\OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT/.runtime_freezes/WORLD_PROTOCOL_ATLAS_FULL_V0_1_EXHAUSTIVE/AUTO_CARDS_CANDIDATES.json","AUTO_CARDS_CANDIDATES.json",".json","28471","ARCHIVE_ONLY","ATLAS_READONLY_ADVISORY_ONLY","RUNTIME_FREEZE_ARCHIVE_ONLY","false","false","false","F06 canon repair inventory; deduped zip source; no extraction; no runtime import"
"OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","C:\Users\User\Downloads\OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT/.runtime_freezes/WORLD_PROTOCOL_ATLAS_FULL_V0_1_EXHAUSTIVE/AUTO_MODULE_HEADING_CANDIDATES.json","AUTO_MODULE_HEADING_CANDIDATES.json",".json","1275231","ARCHIVE_ONLY","ATLAS_READONLY_ADVISORY_ONLY","RUNTIME_FREEZE_ARCHIVE_ONLY","false","false","false","F06 canon repair inventory; deduped zip source; no extraction; no runtime import"
"OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","C:\Users\User\Downloads\OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT/.runtime_freezes/WORLD_PROTOCOL_ATLAS_FULL_V0_1_EXHAUSTIVE/AUTO_PROTOCOL_CANDIDATES_RAW.json","AUTO_PROTOCOL_CANDIDATES_RAW.json",".json","300547","ARCHIVE_ONLY","ATLAS_READONLY_ADVISORY_ONLY","RUNTIME_FREEZE_ARCHIVE_ONLY","false","false","false","F06 canon repair inventory; deduped zip source; no extraction; no runtime import"
"OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","C:\Users\User\Downloads\OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT/.runtime_freezes/WORLD_PROTOCOL_ATLAS_FULL_V0_1_EXHAUSTIVE/CARD_REGISTRY_V0_1.json","CARD_REGISTRY_V0_1.json",".json","29806","ARCHIVE_ONLY","ATLAS_READONLY_ADVISORY_ONLY","RUNTIME_FREEZE_ARCHIVE_ONLY","false","false","false","F06 canon repair inventory; deduped zip source; no extraction; no runtime import"
"OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","C:\Users\User\Downloads\OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT/.runtime_freezes/WORLD_PROTOCOL_ATLAS_FULL_V0_1_EXHAUSTIVE/GAP_REPORT_V0_TO_V0_1.md","GAP_REPORT_V0_TO_V0_1.md",".md","1484","ARCHIVE_ONLY","ATLAS_READONLY_ADVISORY_ONLY","RUNTIME_FREEZE_ARCHIVE_ONLY","false","false","false","F06 canon repair inventory; deduped zip source; no extraction; no runtime import"
"OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","C:\Users\User\Downloads\OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT/.runtime_freezes/WORLD_PROTOCOL_ATLAS_FULL_V0_1_EXHAUSTIVE/MANIFEST_SHA256.json","MANIFEST_SHA256.json",".json","933","ARCHIVE_ONLY","ATLAS_READONLY_ADVISORY_ONLY","RUNTIME_FREEZE_ARCHIVE_ONLY","false","false","false","F06 canon repair inventory; deduped zip source; no extraction; no runtime import"
"OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","C:\Users\User\Downloads\OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT/.runtime_freezes/WORLD_PROTOCOL_ATLAS_FULL_V0_1_EXHAUSTIVE/OBSIDIA_WORLD_PROTOCOL_ATLAS_V0_1_EXHAUSTIVE_AUDIT.json","OBSIDIA_WORLD_PROTOCOL_ATLAS_V0_1_EXHAUSTIVE_AUDIT.json",".json","6977","ARCHIVE_ONLY","ATLAS_READONLY_ADVISORY_ONLY","RUNTIME_FREEZE_ARCHIVE_ONLY","false","false","false","F06 canon repair inventory; deduped zip source; no extraction; no runtime import"
"OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","C:\Users\User\Downloads\OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT/.runtime_freezes/WORLD_PROTOCOL_ATLAS_FULL_V0_1_EXHAUSTIVE/TEST_OUTPUT_V0_1.txt","TEST_OUTPUT_V0_1.txt",".txt","1288","ARCHIVE_ONLY","ATLAS_READONLY_ADVISORY_ONLY","RUNTIME_FREEZE_ARCHIVE_ONLY","false","false","false","F06 canon repair inventory; deduped zip source; no extraction; no runtime import"
"OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","C:\Users\User\Downloads\OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT/.runtime_freezes/WORLD_PROTOCOL_ATLAS_FULL_V0_1_EXHAUSTIVE/VERIFICATION_REPORT_V0_1.json","VERIFICATION_REPORT_V0_1.json",".json","4926","ARCHIVE_ONLY","ATLAS_READONLY_ADVISORY_ONLY","RUNTIME_FREEZE_ARCHIVE_ONLY","false","false","false","F06 canon repair inventory; deduped zip source; no extraction; no runtime import"
"OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","C:\Users\User\Downloads\OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT/.runtime_freezes/WORLD_PROTOCOL_ATLAS_FULL_V0_1_EXHAUSTIVE/VERIFICATION_REPORT_V0_1.md","VERIFICATION_REPORT_V0_1.md",".md","3786","ARCHIVE_ONLY","ATLAS_READONLY_ADVISORY_ONLY","RUNTIME_FREEZE_ARCHIVE_ONLY","false","false","false","F06 canon repair inventory; deduped zip source; no extraction; no runtime import"
"OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","C:\Users\User\Downloads\OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT/.runtime_freezes/WORLD_PROTOCOL_ATLAS_V0/MANIFEST_SHA256.json","MANIFEST_SHA256.json",".json","501","ARCHIVE_ONLY","ATLAS_READONLY_ADVISORY_ONLY","RUNTIME_FREEZE_ARCHIVE_ONLY","false","false","false","F06 canon repair inventory; deduped zip source; no extraction; no runtime import"
"OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","C:\Users\User\Downloads\OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT/.runtime_freezes/WORLD_PROTOCOL_ATLAS_V0/audit_report.json","audit_report.json",".json","4296","ARCHIVE_ONLY","ATLAS_READONLY_ADVISORY_ONLY","RUNTIME_FREEZE_ARCHIVE_ONLY","false","false","false","F06 canon repair inventory; deduped zip source; no extraction; no runtime import"
