"domain","input_sha256","response_sha256","metrics_sha256","metric_count","decision_count","decision_files","decision_hashes","gate","verdict","reason"
"bank","988680FD35AD2C74544B0B2C9AB8CF9AD502A316A12EF253B3386462A64F1979","D157D5FBC3E9D7714963BB64723009922F63CC9BF9AE4715588F11091F2A800E","906453CB4FD340DD68961C3D8EDF9ECF3ACDBEE92326F34408B393A28B5FB6EE","111","7","decision_bank_1777492495888.json; decision_bank_1777492506178.json; decision_bank_1777492517202.json; decision_bank_1777492527598.json; decision_bank_1777492538108.json; decision_bank_1777492548559.json; decision_bank_1777492549900.json","118C019185B59FDD5B9B131F04C4EC5712B68D1A7C8740071267860DCE641C55; FDAEBA78F9CF06C25434D7BEF920F23C365B82C01CCD90F1954C57CA592555EB; ED12FA35BB358258843384C871734E2E12B85FC655D447D2AF2509AC885790F8; 61033FBE7FCEF36CB51F6179EBC3FE5A2514027D34943838548C978BAA9DF510; A0D397A78F706F3771858B564F9070567DAAFD0CABDCE1F56CEE06E32B6398D6; 739F29EB6C663A19E87BE6076FF65250BD655D37B8528309B5F7E1A57D687261; 233136417EE083DC99F94F4570F7855C99221BE6F20C8405BC5899CAA5568564","BLOCK","ANALYZE","CONTRADICTION_THRESHOLD_REACHED"
"trading","A09D6DEE2AD56DA8C61E9859206B3260FAC9C92DA0C4FB6F136D177099702049","A4FAB62D399A408944A6546298BD7EC6147A4603933350F7524A8842908A9F51","9F30DD34E5DED0EB25677FDD919B2F97312D263D55D1A83D683454F01887D2DA","108","21","decision_trading_1777492491375.json; decision_trading_1777492494366.json; decision_trading_1777492497412.json; decision_trading_1777492500650.json; decision_trading_1777492503306.json; decision_trading_1777492505833.json; decision_trading_1777492508344.json; decision_trading_1777492510930.json; decision_trading_1777492513662.json; decision_trading_1777492517172.json; decision_trading_1777492519796.json; decision_trading_1777492522505.json; decision_trading_1777492525210.json; decision_trading_1777492527878.json; decision_trading_1777492531214.json; decision_trading_1777492534058.json; decision_trading_1777492536780.json; decision_trading_1777492539450.json; decision_trading_1777492542099.json; decision_trading_1777492550485.json; decision_trading_1777492550708.json","E87C4EE29A094BB4328434F7D434901536C71AF50BE5E253F260BFDB24B779E2; 7498A2D32BE62CF60EEB4F9CC0206EF8299B395D6B3821C9F47AC3BCD1B92781; 4E30E261670AA31396BD48958EDBBCE8E8AF4D2F246DBC8C749865E703016F13; 6B743E22E8B18AD214A62344BA713443E15F5E460E1B6DD13C8AF46586890D11; 6B02CACB06D35DF79832932E5D4380B2C20C5C01B0EC7DB628EAAB8C039AA157; 3B6539A9BD055EE517509054AA86AF39BE386520F74DD93D72D0A75B0BC41B80; F9534BA3E3062E8F3F57B111C93D305A98845A39B4A659B27D0EBA3BBE996368; 7BD25232D777E1D06927F21F5366A55EE9E6131DBFBB8C1688E9DF23ECDCDD1B; 958F94C6D85201E195084B1C0388C267FA52C3C0AB84B45943B910A040313B6A; FDDD0E7F87F2D6C4BFB37E2C157F718F91059F3D79297624D53412762C3D7C2D; FA3FAF36C3D49E44EB3C043E116A3C1D622016A64253FAFF6B0270C373A2CDBB; D92DD1B3910E02EC728C12793A4BC81C988132E7E2D32E411F047BE3E9B1CEDA; 12591C8656756D71F248C2DA56E37553F0B1065B259878602AB2CD454320011C; B92C7F028A1FE4868180BBCF4D8A369486CABCA3456ED37EA13958238DBCB608; 079B4636897314E9A545100DF938EED719473CB2E303A9D7E1633A65B87DD7C1; 65E169EB47AA1CE21055C5690B84AB6BE59CA6BEF8DF473711805C4127E7FAD5; 42492012AEBCD3579B8084C9F3D0DC8D8B4445F6488B33EF0D979DAB92C611A3; 88443E56DBF7536EDE56D3FDAF4B9DFBD1A7797115BBF3396E6E1A6995765B90; 9F204B54FC9630089B07831D9CDA094FBC7DBCC52F4A5415CCE6CCD81FC22A8B; 2248A414DB809B5007DB38404301BDC9107A0C4FE5A153513FCCA1EFF41DA304; 754EBE755F20CE8B25F063CA8539CACBC41A6761F37FAEBEFE0E07F076C6BA99","HOLD","REVIEW","RISK_FLAGS_REQUIRE_DELAY"
"gps_defense_aviation","0E9835CD2BEBE1494297535BD822B69DA6A6D8567F01C103765741A7FDE7E8FE","73BD31468C4D3E4BD678BB096CC9395EDAB8A2D1075AE8243DE14FDAD8B1DE4C","091229A99C7E135B3060B687A154716DCDDD07B07679669070738830A885BCB3","102","14","decision_gps_defense_aviation_1777492489663.json; decision_gps_defense_aviation_1777492494434.json; decision_gps_defense_aviation_1777492499183.json; decision_gps_defense_aviation_1777492503624.json; decision_gps_defense_aviation_1777492507935.json; decision_gps_defense_aviation_1777492512330.json; decision_gps_defense_aviation_1777492517321.json; decision_gps_defense_aviation_1777492521686.json; decision_gps_defense_aviation_1777492526142.json; decision_gps_defense_aviation_1777492531073.json; decision_gps_defense_aviation_1777492535495.json; decision_gps_defense_aviation_1777492540461.json; decision_gps_defense_aviation_1777492549230.json; decision_gps_defense_aviation_1777492551152.json","99306D0C6A875CAFBD07D3FB229A3599DF527E92B678B7064B5849BB3A4C11A6; EBE29217FB4553E6B6B3D3BFF91E49A7B98853D163E9A51F6089982C15417781; 3762FD7B30B8F7DEDF027544828607C6D378C40FBE70E73D5E755E9332025D7E; 3C4FE7B31060DBF6FC5CCD93E5239A8D89904B40F73537E462B0EC5331CBDA3C; C2B335075373EFAB6843FC4D442CCCD71B785FCB727BA30E87E5B897A5F66AFF; 1D2BE548A171DC7F6478FA779418377558EE26768FF658F98843E6F029883342; 63B03BECC3820F0100BA49044C7E15D2C40E9850E4E61F34F0A3269C999E2B57; E616BF5BCC83470755894E606ACD60B1F69C83313F766296105EDF9B787F9D18; F9C310591F900C4D2FA03DA9712046603876CD931607A36E52D57F1D93B0E6CC; FB6DD10452240913B17F52E9EA8F6F1E664EF421A3957D4A224686216005E033; 9101F94BF4000CB7B3B9EC006457C0A06237CC004BC98AE8EE4A8E38D891E728; F6896207D3C71DDBA93BE437D119A3B605C8C3CE67E80F9F9849670562D4EB2A; 1D9CA0D1EC4E671EDD911D4CA4F6D3590971C4D55C76A8CDE8C38C17F1226826; 5995A9DC1248B08BFA860A88FC3ADDAE82F346AD04CB6A921497825123CEFDA4","BLOCK","ABORT_TRAJECTORY","CONTRADICTION_THRESHOLD_REACHED"
